*Interval,Energy Price
692,1549.01
693,1499.53
694,1499.59
695,1599.79
696,1959.26
697,2149
698,2697.07
699,2012.94
700,2349.5
701,2012.93
702,2899.61
703,3098
704,3416.7
705,2012.9
706,2702.65
707,3163.32
708,2949.79
709,2909.04
710,2909.17
711,2720.12
712,2599.69
713,3151.78
714,3230.97
715,3610.84
716,3372.55
717,3372.56
718,3149.16
719,2680.64
720,2599.76
721,2700.24
722,2722.03
723,2600.48
724,2299.94
725,2722.82
726,2900.84
727,2807.39
728,2599.08
729,2700.97
730,2989.43
731,2800.59
732,2722.47
733,2299.89
734,2701
735,2700.3
736,2801.54
737,2999.13
738,2981.2
739,3100.48
740,3410.29
741,3100.27
742,3416.51
743,3470.47
744,3416.89
745,3939.44
746,3807.81
747,3599.12
748,3399.69
749,3599.47
750,3631.62
751,3249.98
752,3249.49
753,2999.61
754,2999.22
755,2600.15
756,2600.87
757,2900.11
758,2599.52
759,2859.34
760,2199.73
761,2039.42
762,1999.83
763,1849.38
764,1775.7
765,1999.2
766,2151.64
767,1687.5
768,1700.29
769,1599.57
770,1599.47
771,1700.32
772,1600.56
773,1533.06
774,1109.57
775,1499.2
776,1500.04
777,1499.63
778,1499.66
779,1499.5
780,1499.31
781,1516.6
782,1541.6
783,999.9
784,1200.03
785,1512.5
786,1750.59
787,1834.65
788,2033.63
789,1070.64
790,1499.11
791,1499.74
792,1010.93
793,999.83
794,2289.11
795,2999.61
796,3350.19
797,3120.35
798,3450.93
799,3163.09
800,3631.1
801,2969.48
802,2969.64
803,3435.76
804,3621.86
805,3680.63
806,3690.07
807,3680.35
808,3670.46
809,4003.55
810,3832.57
811,5039.71
812,4999.13
813,3769.55
814,3631.73
815,3631.23
816,3050.29
817,3435.78
818,3499.25
819,2999.51
820,2999.23
821,2059.93
822,2179.36
823,2359.9
824,1949.77
825,2699.52
826,2999.31
827,2369.45
828,2364
829,2059.93
830,2599.99
831,2505.52
832,2539.31
833,2049.79
834,2049.95
835,2020
836,2700.75
837,2900.14
838,3050.79
839,3423.68
840,3631.03
841,3689.42
842,3680.41
843,3670.47
844,3459.14
845,3409.16
846,3409.08
847,2931
848,2649.79
849,2219.58
850,2349.74
851,2995.1
852,2993.42
853,2999.44
854,2944.13
855,2000
856,1949.42
857,2420.88
858,2538.39
859,1700.61
860,1579.96
861,2538.19
862,2599.35
863,1799.38
864,1479.9
865,1550.6
866,1441.24
867,999.68
868,999.68
869,999.72
870,999.74
871,999.78
872,999.6
873,999.35
874,999.3
875,999.47
876,999.51
877,999.48
878,999.55
879,999.47
880,999.47
881,999.4
882,999.53
883,999.59
884,999.63
885,999.57
886,999.68
887,1441.49
888,2279.58
889,999.69
890,2200.86
891,3001.46
892,3479.61
893,3000
894,3620.87
895,3620.06
896,3620.75
897,3143.46
898,3143.89
899,3866.55
900,3870.77
901,3691
902,3500.77
903,4000.36
904,3976.5
905,4002.11
906,4001.45
907,3703.61
908,3703.54
909,3459.34
910,3359.09
911,3320.98
912,3631.06
913,3210.26
914,3210.11
915,2509.89
916,2509.9
917,2059.77
918,2159.66
919,2212.49
920,2000.59
921,1939.47
922,1999.21
923,1999.57
924,2019.43
925,1939.75
926,1939.7
927,2599.44
928,2599.19
929,2800.05
930,2923.62
931,3070
932,3220.2
933,2959.93
934,3163.78
935,2909.94
936,2910.3
937,4007.44
938,4710.16
939,3969.53
940,3845.74
941,3712.32
942,3699.38
943,3448.16
944,3339.58
945,3845.64
946,3845.73
947,3612.94
948,3414.79
949,3000.65
950,2899.88
951,2801.91
952,2500.49
953,3448.66
954,3414.39
955,1899.31
956,1899.27
957,1509.86
958,1625.23
959,2538.11
960,2030.18
961,2343.04
962,2420.8
963,2539.49
964,3020.1
965,2190.55
966,2119.22
967,2100.14
968,1999.53
969,2054.97
970,2033.59
971,1706.97
972,1706.33
973,1750.32
974,1619.75
975,2008.91
976,2033.13
977,1890.79
978,1999.71
979,1706.17
980,2190.56
981,1592.14
982,2369.93
983,1619.48
984,1889.44
985,2500.66
986,3320.36
987,3470.86
988,3749.63
989,3499.21
990,3500.42
991,4000.18
992,4004.78
993,3990.66
994,3870.87
995,3870.74
996,3900.51
997,3900.92
998,3919.19
999,3900.54
1000,3749.87
1001,3730.86
1002,3730.25
1003,3599.24
1004,3449.16
1005,3845.64
1006,3845.47
1007,3730.53
1008,3479.32
1009,3338.33
1010,3320.56
1011,2923.47
1012,2923.13
1013,2640.44
1014,2578.71
1015,2412.77
1016,2538.08
1017,2728.27
1018,3020.38
1019,2099.52
1020,2099.82
1021,2505.07
1022,2538.91
1023,2983.42
1024,2670.71
1025,2798.58
1026,2863.96
1027,2949.47
1028,2923.47
1029,3506.16
1030,3612.41
1031,3870.2
1032,3870.86
1033,4170.06
1034,5000.77
1035,5013.36
1036,5019.97
1037,4901.16
1038,4100.28
1039,3899.42
1040,3899.15
1041,3700.51
1042,3599.67
1043,3712.64
1044,3482.8
1045,3000.82
1046,2999.79
1047,2999.54
1048,2999.05
1049,2897
1050,2477.36
1051,2119.74
1052,2019.03
1053,1720.83
1054,1899.35
1055,2420.16
1056,2379.21
1057,2999.38
1058,2539.08
1059,2309.46
1060,2190.94
1061,1910.74
1062,2098.67
1063,1771.01
1064,1689.43
1065,1750.74
1066,1673.85
1067,2117.2
1068,1910.24
1069,1673.19
1070,1499.02
1071,1498.87
1072,1530.19
1073,1649.88
1074,2033.38
1075,2220.55
1076,2220.68
1077,3008.24
1078,3000.04
1079,3250.02
1080,2999.15
1081,2999.73
1082,3415.03
1083,3694.94
1084,4003.95
1085,3447.21
1086,3712.05
1087,3866.61
1088,4000.41
1089,4461.9
1090,4005.3
1091,4935.65
1092,4809.75
1093,3808.56
1094,3808.85
1095,4671.64
1096,4100.41
1097,4000.77
1098,4788.33
1099,5000.51
1100,5000.56
1101,5000.46
1102,5000.06
1103,4219.86
1104,3994.4
1105,3612.7
1106,3589.77
1107,3447.6
1108,3447.14
1109,2606.44
1110,2678.13
1111,2099.9
1112,2099.84
1113,3414.24
1114,3414.4
1115,3338.5
1116,3365.12
1117,2989.58
1118,2989.16
1119,2929.39
1120,3365.75
1121,3320.17
1122,2999.8
1123,3738.22
1124,3769.27
1125,3749.42
1126,4270.19
1127,3845.29
1128,3845.03
1129,5000.92
1130,5500.16
1131,6000.14
1132,6000.12
1133,5242
1134,4534.79
1135,4000.74
1136,3999.38
1137,3899.7
1138,3845.81
1139,3612.86
1140,3612.4
1141,3790.03
1142,3739.33
1143,3415.35
1144,3414.94
1145,2999.92
1146,2620.96
1147,2620.04
1148,2039.49
1149,2538.53
1150,2620.48
1151,2538.15
1152,2538.03
1153,1999.21
1154,1998.32
1155,1990.14
1156,1990.05
1157,1689.6
1158,1899.49
1159,1539.88
1160,1657.65
1161,1647.83
1162,1549.69
1163,1500.16
1164,1508.07
1165,1199.82
1166,1311.79
1167,1199.93
1168,1200.88
1169,999.93
1170,1299.49
1171,1990.06
1172,2119.99
1173,1829.59
1174,1990.11
1175,2538.46
1176,2539.58
1177,2399.76
1178,1999.07
1179,2499.86
1180,3000.76
1181,2999.11
1182,3001.27
1183,3049.04
1184,3416.61
1185,3700.32
1186,3712.63
1187,3790.03
1188,3845.9
1189,3507.31
1190,3499.53
1191,3800.23
1192,3990.54
1193,3712.73
1194,3712.55
1195,3712.97
1196,3700.97
1197,3449.93
1198,3813.27
1199,3641.5
1200,3397
1201,3200.93
1202,3338.28
1203,3143.94
1204,2989.22
1205,2329.84
1206,2329.27
1207,2039.87
1208,2039.15
1209,2511.93
1210,2538.72
1211,2617.17
1212,2859.03
1213,2900.53
1214,2956.44
1215,3140.18
1216,3140.61
1217,3399.7
1218,3414.66
1219,3416.72
1220,3800.11
1221,3699.88
1222,3800.13
1223,3749.7
1224,4004.67
1225,6100.18
1226,8000.09
1227,8000.29
1228,8000.4
1229,8000.37
1230,7000.91
1231,5000.61
1232,4935.14
1233,3988.17
1234,4000.22
1235,3899.17
1236,3845.06
1237,3599.35
1238,3045.5
1239,3414.44
1240,3414.23
1241,2999.1
1242,2961.1
1243,2878.07
1244,2730.6
1245,2807.44
1246,2803.96
1247,2851.82
1248,2799.28
1249,2749.59
1250,2749.39
1251,2412.04
1252,2309.84
1253,2117.83
1254,2011.75
1255,2117.92
1256,2006.1
1257,2117.07
1258,2117.56
1259,2009.46
1260,1999.65
1261,2117.52
1262,2117.36
1263,1999.07
1264,1959.26
1265,1959.93
1266,1999.72
1267,2190.49
1268,3163.93
1269,2412.33
1270,2249.31
1271,3001.95
1272,2999.11
1273,3414.2
