*Interval,Energy Price
998,4500.11
999,4935.54
1000,4599.43
1001,3777.62
1002,3900.1
1003,3469.75
1004,3469.72
1005,3500.05
1006,3469.6
1007,3249.96
1008,3419.4
1009,3339.82
1010,3419.44
1011,3249.69
1012,3249.09
1013,2819.68
1014,2800.29
1015,2746.58
1016,2669.39
1017,2584.66
1018,2579.41
1019,2584.66
1020,2584.6
1021,2650.08
1022,2700.92
1023,2923.15
1024,2923.86
1025,2866.66
1026,2929.21
1027,3249.19
1028,3419.59
1029,3469.9
1030,3509.09
1031,4048.97
1032,5000.69
1033,4989.25
1034,5977.22
1035,6337.55
1036,5977.18
1037,5509.57
1038,4500.86
1039,4370.89
1040,4050.56
1041,3931.95
1042,3569.14
1043,3490.14
1044,3318.03
1045,3219.43
1046,3099.74
1047,3069.14
1048,2869.95
1049,2740.11
1050,2579.95
1051,2550.13
1052,2318.75
1053,2239.64
1054,2239.94
1055,2239.09
1056,2199.79
1057,1849.66
1058,1849.57
1059,1849.5
1060,1849.3
1061,1829.41
1062,1799.72
1063,1800.49
1064,1699.28
1065,1699.2
1066,1699.12
1067,1699.06
1068,1650.14
1069,1669.21
1070,1650.75
1071,1650.63
1072,1699.01
1073,1699.06
1074,1699.86
1075,1730.12
1076,1800.04
1077,1999.82
1078,2239.23
1079,2251.56
1080,2469.02
1081,2746.31
1082,3169.96
1083,3509.39
1084,3659.35
1085,3519.76
1086,3869.14
1087,4000.24
1088,4151.59
1089,4300.65
1090,3900.98
1091,3850.97
1092,3850.23
1093,3509.52
1094,3659.33
1095,4000.41
1096,4000.75
1097,3869.51
1098,4613.11
1099,4319.99
1100,4319.32
1101,4319.16
1102,3825.14
1103,3500.6
1104,3509.27
1105,3419.1
1106,3365.47
1107,3110.12
1108,3000.76
1109,2746.83
1110,2584.51
1111,2556.53
1112,2538.71
1113,2500.46
1114,2538.11
1115,2538.58
1116,2538.58
1117,2584.88
1118,2746.76
1119,2900.66
1120,2929.88
1121,2850.94
1122,2866.87
1123,3030
1124,3509.49
1125,3659.5
1126,3748.03
1127,3869.43
1128,4399.57
1129,5509.28
1130,6244.96
1131,6666.17
1132,6244.49
1133,6100.6
1134,4900.55
1135,4499.67
1136,4048.73
1137,3931.19
1138,3700.75
1139,3500.85
1140,3498.48
1141,3497.45
1142,3491.7
1143,3328.33
