Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
       60.00,      500.00,        0.00,        0.00,      355.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2900.69,     3449.78
       61.00,      500.00,        0.00,        0.00,      470.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2809.91,     3218.13
       62.00,      500.00,        0.00,        0.00,      585.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2809.97,     3323.71
       63.00,      500.00,        0.00,        0.00,      700.22,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2962.76,     3670.57
       64.00,        0.00,        0.00,        0.00,      700.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2989.41,     3449.79
       65.00,        0.00,        0.00,        0.00,      700.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3058.74,     3323.50
       66.00,        0.00,        0.00,        0.00,      700.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3199.54,     3445.00
       67.00,        0.00,      500.00,        0.00,      564.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3620.32,     3553.44
       68.00,        0.00,      500.00,        0.00,      428.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3717.64,     3676.47
       69.00,        0.00,        0.00,        0.00,      428.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3100.44,     3747.90
       70.00,      500.00,        0.00,        0.00,      543.48,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2900.41,     3671.96
       71.00,        0.00,        0.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3089.83,     3340.84
       72.00,        0.00,        0.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3329.44,     3323.75
       73.00,        0.00,        0.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3300.05,     3229.81
       74.00,        0.00,      500.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3717.89,     3323.39
       75.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.06,     3229.88
       76.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3989.46,     3499.50
       77.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3717.40,     3340.90
       78.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3494.49,     3500.28
       79.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3497.84,     3229.02
       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3349.14,     3079.79
       81.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2799.49,     2849.75
       82.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2794.17,     2849.30
       83.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2899.11,     2499.90
       84.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2989.30,     2499.92
       85.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2799.10,     2740.69
       86.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2619.11,     2689.12
       87.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2619.17,     2689.32
       88.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2509.87,     2619.76
       89.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2299.27,     2589.84
       90.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2399.55,     2600.72
       91.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2374.37,     2640.67
       92.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2208.28,     2689.51
       93.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2302.32,     2609.26
       94.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2302.90,     2611.00
       95.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2302.41,     2619.02
       96.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2300.99,     2606.85
       97.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2305.51,     2359.02
       98.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2260.20,     2330.73
       99.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2249.88,     2130.59
      100.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2100.95,     2117.15
      101.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2049.63,     2156.44
      102.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.66,     1983.03
      103.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2000.58,     1799.27
      104.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1987.86,     1799.11
      105.00,      347.83,        0.00,        0.00,       80.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     1987.50,     1767.92
      106.00,      500.00,        0.00,        0.00,      195.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1987.48,     1900.65
      107.00,      500.00,        0.00,        0.00,      310.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1987.01,     1875.60
      108.00,      500.00,        0.00,        0.00,      425.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1916.75,     1900.26
      109.00,      500.00,        0.00,        0.00,      540.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1916.50,     1767.67
      110.00,      500.00,        0.00,        0.00,      655.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1916.64,     1767.77
      111.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1916.62,     2014.21
      112.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1916.23,     1767.63
      113.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     1907.71,     2049.33
      114.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     1999.04,     2001.60
      115.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2099.84,     1764.35
      116.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2201.60,     1941.24
      117.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2305.50,     2080.18
      118.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2407.35,     2156.26
      119.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2600.79,     2117.80
      120.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2799.63,     2156.19
      121.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2829.20,     2279.45
      122.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3100.37,     2445.00
      123.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.03,     3200.16
      124.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.68,     3579.52
      125.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.17,     3349.88
      126.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4100.72,     3500.48
      127.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4855.35,     3999.29
      128.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5899.92,     4051.12
      129.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.56,     5499.64
      130.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7050.57,     6500.03
      131.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7050.86,     6500.01
      132.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8000.24,     6100.50
      133.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7000.95,     5999.88
      134.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7050.66,     6500.04
      135.00,        0.00,      500.00,        0.00,      184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7050.48,     6100.11
      136.00,        0.00,      500.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7000.66,     6100.25
      137.00,        0.00,        0.00,        0.00,       48.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6844.81,     4968.00
      138.00,        0.00,      180.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6866.93,     4143.00
      139.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6634.59,     5000.03
      140.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6583.42,     4000.66
      141.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5989.80,     2700.60
      142.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4991.60,     2499.96
      143.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4877.23,     3349.24
      144.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4300.72,     3349.15
      145.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3649.11,     3311.33
      146.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3649.69,     2929.90
      147.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3449.26,     3334.00
      148.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3100.59,     3333.67
      149.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3200.06,     3179.70
      150.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3079.28,     2805.60
      151.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3079.63,     2951.58
