Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
      118.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3692.22,     3692.22
      119.00,        0.00,        0.00,        0.00,     2000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3588.61,     3588.61
      120.00,        0.00,        0.00,        0.00,     2000.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3692.13,     3692.13
      121.00,        0.00,        0.00,        0.00,     2000.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3730.95,     3730.95
      122.00,        0.00,        0.00,        0.00,     2000.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4689.68,     4689.68
      123.00,        0.00,        0.00,        0.00,     2000.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7700.21,     7700.21
      124.00,        0.00,      500.00,        0.00,     1864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7700.59,     7700.59
      125.00,        0.00,      500.00,        0.00,     1728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8020.76,     8020.76
      126.00,        0.00,      500.00,        0.00,     1592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     8020.55,     8020.55
      127.00,        0.00,      500.00,        0.00,     1456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7503.69,     7503.69
      128.00,        0.00,      500.00,        0.00,     1320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7501.22,     7501.22
      129.00,        0.00,      500.00,        0.00,     1184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5999.33,     5999.33
      130.00,        0.00,        0.00,        0.00,     1184.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5000.41,     5000.41
      131.00,      500.00,        0.00,        0.00,     1299.78,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4786.10,     4786.10
      132.00,        0.00,      500.00,        0.00,     1163.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5501.18,     5501.18
      133.00,        0.00,        0.00,        0.00,     1163.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5499.90,     5499.90
      134.00,        0.00,      500.00,        0.00,     1028.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6000.33,     6000.33
      135.00,        0.00,      500.00,        0.00,      892.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6504.24,     6504.24
      136.00,        0.00,      500.00,        0.00,      756.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5999.79,     5999.79
      137.00,        0.00,        0.00,        0.00,      756.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5500.71,     5500.71
      138.00,        0.00,      283.20,        0.00,      679.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5500.83,     5500.83
      139.00,        0.00,      500.00,        0.00,      543.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6208.89,     6208.89
      140.00,        0.00,      500.00,        0.00,      407.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6499.42,     6499.42
      141.00,        0.00,      500.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7500.37,     7500.37
      142.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7500.62,     7500.62
      143.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7500.84,     7500.84
      144.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5500.20,     5500.20
      145.00,      500.00,        0.00,        0.00,      115.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3998.30,     3998.30
      146.00,      500.00,        0.00,        0.00,      230.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3997.59,     3997.59
      147.00,      500.00,        0.00,        0.00,      345.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4269.79,     4269.79
      148.00,      500.00,        0.00,        0.00,      460.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     4369.41,     4369.41
      149.00,      500.00,        0.00,        0.00,      575.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3499.52,     3499.52
      150.00,      500.00,        0.00,        0.00,      690.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3692.13,     3692.13
      151.00,      500.00,        0.00,        0.00,      805.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3692.21,     3692.21
      152.00,      500.00,        0.00,        0.00,      920.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3499.22,     3499.22
      153.00,      500.00,        0.00,        0.00,     1035.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3700.43,     3700.43
      154.00,      500.00,        0.00,        0.00,     1150.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3510.91,     3510.91
      155.00,      500.00,        0.00,        0.00,     1265.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3700.62,     3700.62
      156.00,      500.00,        0.00,        0.00,     1380.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     3700.91,     3700.91
