Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (Binary),Cool Down Period 1 (MW-h),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase ($/MWh)
       61.00,      347.83,        0.00,        0.00,     1000.00,        0.00,        0.00,      347.83,        0.00,        0.00,        0.00,     2923.29,     2999.83
       62.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3000.39,     2999.78
       63.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3001.35,     3000.82
       64.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.20,     3320.83
       65.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3415.17,     3415.27
       66.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3500.40,     3699.47
       67.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.02,     3899.87
       68.00,        0.00,      500.00,        0.00,      864.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4359.45,     3749.86
       69.00,        0.00,      500.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.07,     3416.57
       70.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.67,     3744.37
       71.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.94,     3510.71
       72.00,        0.00,        0.00,        0.00,      728.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3800.02,     3899.46
       73.00,        0.00,      500.00,        0.00,      592.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4067.38,     3689.85
       74.00,        0.00,      500.00,        0.00,      456.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4469.00,     3744.07
       75.00,        0.00,      500.00,        0.00,      320.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4468.88,     3470.69
       76.00,        0.00,      180.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3991.03,     3744.30
       77.00,        0.00,        0.00,        0.00,      271.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3959.81,     4065.73
       78.00,        0.00,      500.00,        0.00,      135.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3991.19,     3961.46
       79.00,        0.00,      500.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4000.06,     3423.63
       80.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3899.31,     3399.88
       81.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3499.90,     3479.02
       82.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3449.87,     3423.87
       83.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3446.25,     3120.72
       84.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3446.03,     3120.49
       85.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.59,     2999.06
       86.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3000.50,     2969.77
       87.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2929.68,     2599.14
       88.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2819.37,     2499.62
       89.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2579.50,     2720.01
       90.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2579.56,     2499.26
       91.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2529.60,     2200.65
