Interval,In Pwr 1 (MW),Out Pwr Sold1 (MW),Out Pwr Load1 (MW),Storage Lvl 1 (MW-h),Cool Down Period 1 (Binary),H2 Out 1 (kg),Non-Ren In 1 (MW),Ren In 1 (MW),Ren Sold 1 (MW),Curtailment (MW), Elec Purchase (INR/MWh), Elec Purchase RT (INR/MWh)
    21524.00,      500.00,        0.00,        0.00,      770.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2623.99,     2623.99
    21525.00,        0.00,        0.00,        0.00,      770.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2708.47,     2708.47
    21526.00,      500.00,        0.00,        0.00,      885.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2630.48,     2630.48
    21527.00,      500.00,        0.00,        0.00,     1000.00,        0.00,        0.00,      500.00,        0.00,        0.00,        0.00,     2699.98,     2699.98
    21528.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     2776.16,     2776.16
    21529.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.22,     3219.22
    21530.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3222.07,     3222.07
    21531.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.72,     3219.72
    21532.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.53,     3219.53
    21533.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.87,     3219.87
    21534.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3250.36,     3250.36
    21535.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3219.72,     3219.72
    21536.00,        0.00,        0.00,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     3299.06,     3299.06
